Bulan,Luas Lahan,Luas Panen (ha),Produksi Padi (ton),Tahun,curah hujan (mm)
Maret,38053,24524.4,154993.6,2017,298.0
Maret,38053,24524.4,154993.6,2018,250.6
Maret,38053,24524.4,154993.6,2019,404.0
Maret,38053,24524.4,154993.6,2020,163.8
Maret,38053,24524.4,154993.6,2021,93.7
Maret,38053,24524.4,154993.6,2022,232.0
Maret,35779,13043.1,86737.0,2013,262.8
Maret,35779,13043.1,86737.0,2014,319.6
Maret,35779,13043.1,86737.0,2015,259.0
Maret,35779,13043.1,86737.0,2016,266.0
Maret,35779,13043.1,86737.0,2017,298.0
Maret,35779,13043.1,86737.0,2018,250.6
Maret,35779,13043.1,86737.0,2019,404.0
Maret,35779,13043.1,86737.0,2020,163.8
Maret,35779,13043.1,86737.0,2021,93.7
Maret,35779,13043.1,86737.0,2022,232.0
April,38111,5218.0,32095.92,2013,197.2
April,38111,5218.0,32095.92,2014,316.1
April,38111,5218.0,32095.92,2015,225.0
April,38111,5218.0,32095.92,2016,224.0
April,38111,5218.0,32095.92,2017,223.0
April,38111,5218.0,32095.92,2018,177.3
April,38111,5218.0,32095.92,2019,256.33
April,38111,5218.0,32095.92,2020,235.6
April,38111,5218.0,32095.92,2021,117.5
April,38111,5218.0,32095.92,2022,169.0
April,38200,6491.0,42535.52,2013,197.2
April,38200,6491.0,42535.52,2014,316.1
April,38200,6491.0,42535.52,2015,225.0
April,38200,6491.0,42535.52,2016,224.0
April,38200,6491.0,42535.52,2017,223.0
April,38200,6491.0,42535.52,2018,177.3
April,38200,6491.0,42535.52,2019,256.33
April,38200,6491.0,42535.52,2020,235.6
April,38200,6491.0,42535.52,2021,117.5
April,38200,6491.0,42535.52,2022,169.0
April,37558,6775.0,44206.87,2013,197.2
April,37558,6775.0,44206.87,2014,316.1
April,37558,6775.0,44206.87,2015,225.0
April,37558,6775.0,44206.87,2016,224.0
April,37558,6775.0,44206.87,2017,223.0
April,37558,6775.0,44206.87,2018,177.3
April,37558,6775.0,44206.87,2019,256.33
April,37558,6775.0,44206.87,2020,235.6
April,37558,6775.0,44206.87,2021,117.5
April,37558,6775.0,44206.87,2022,169.0
April,38053,7582.2,46114.9,2013,197.2
April,38053,7582.2,46114.9,2014,316.1
April,38053,7582.2,46114.9,2015,225.0
April,38053,7582.2,46114.9,2016,224.0
April,38053,7582.2,46114.9,2017,223.0
April,38053,7582.2,46114.9,2018,177.3
April,38053,7582.2,46114.9,2019,256.33
April,38053,7582.2,46114.9,2020,235.6
April,38053,7582.2,46114.9,2021,117.5
April,38053,7582.2,46114.9,2022,169.0
April,35779,2602.3,17318.0,2013,197.2
April,35779,2602.3,17318.0,2014,316.1
April,35779,2602.3,17318.0,2015,225.0
April,35779,2602.3,17318.0,2016,224.0
April,35779,2602.3,17318.0,2017,223.0
April,35779,2602.3,17318.0,2018,177.3
April,35779,2602.3,17318.0,2019,256.33
April,35779,2602.3,17318.0,2020,235.6
April,35779,2602.3,17318.0,2021,117.5
April,35779,2602.3,17318.0,2022,169.0
Mei,38111,671.0,3983.73,2013,206.7
Mei,38111,671.0,3983.73,2014,202.0
Mei,38111,671.0,3983.73,2015,77.0
Mei,38111,671.0,3983.73,2016,266.0
Mei,38111,671.0,3983.73,2017,199.0
Mei,38111,671.0,3983.73,2018,41.3
Mei,38111,671.0,3983.73,2019,95.16
Mei,38111,671.0,3983.73,2020,298.8
Mei,38111,671.0,3983.73,2021,99.9
Mei,38111,671.0,3983.73,2022,134.0
Mei,38200,1981.57,12105.41,2013,206.7
Mei,38200,1981.57,12105.41,2014,202.0
Mei,38200,1981.57,12105.41,2015,77.0
Mei,38200,1981.57,12105.41,2016,266.0
Mei,38200,1981.57,12105.41,2017,199.0
Mei,38200,1981.57,12105.41,2018,41.3
Mei,38200,1981.57,12105.41,2019,95.16
Mei,38200,1981.57,12105.41,2020,298.8
Mei,38200,1981.57,12105.41,2021,99.9
Mei,38200,1981.57,12105.41,2022,134.0
Mei,37558,1742.0,11366.55,2013,206.7
Mei,37558,1742.0,11366.55,2014,202.0
Mei,37558,1742.0,11366.55,2015,77.0
Mei,37558,1742.0,11366.55,2016,266.0
Mei,37558,1742.0,11366.55,2017,199.0
Mei,37558,1742.0,11366.55,2018,41.3
Mei,37558,1742.0,11366.55,2019,95.16
Mei,37558,1742.0,11366.55,2020,298.8
Mei,37558,1742.0,11366.55,2021,99.9
Mei,37558,1742.0,11366.55,2022,134.0
Mei,38053,903.5,5805.3,2013,206.7
Mei,38053,903.5,5805.3,2014,202.0
Mei,38053,903.5,5805.3,2015,77.0
Mei,38053,903.5,5805.3,2016,266.0
Mei,38053,903.5,5805.3,2017,199.0
Mei,38053,903.5,5805.3,2018,41.3
Mei,38053,903.5,5805.3,2019,95.16
Mei,38053,903.5,5805.3,2020,298.8
Mei,38053,903.5,5805.3,2021,99.9
Mei,38053,903.5,5805.3,2022,134.0
Mei,35779,7856.2,49808.0,2013,206.7
Mei,35779,7856.2,49808.0,2014,202.0
Mei,35779,7856.2,49808.0,2015,77.0
Mei,35779,7856.2,49808.0,2016,266.0
Mei,35779,7856.2,49808.0,2017,199.0
Mei,35779,7856.2,49808.0,2018,41.3
Mei,35779,7856.2,49808.0,2019,95.16
Mei,35779,7856.2,49808.0,2020,298.8
Mei,35779,7856.2,49808.0,2021,99.9
Mei,35779,7856.2,49808.0,2022,134.0
Juni,38111,2591.0,59735.42,2013,128.0
Juni,38111,2591.0,59735.42,2014,224.4
Juni,38111,2591.0,59735.42,2015,0.0
Juni,38111,2591.0,59735.42,2016,238.0
Juni,38111,2591.0,59735.42,2017,169.0
Juni,38111,2591.0,59735.42,2018,0.0
Juni,38111,2591.0,59735.42,2019,0.0
Juni,38111,2591.0,59735.42,2020,115.4
Juni,38111,2591.0,59735.42,2021,112.0
Juni,38111,2591.0,59735.42,2022,319.0
Juni,38200,10696.36,65237.1,2013,128.0
Juni,38200,10696.36,65237.1,2014,224.4
Juni,38200,10696.36,65237.1,2015,0.0
Juni,38200,10696.36,65237.1,2016,238.0
Juni,38200,10696.36,65237.1,2017,169.0
Juni,38200,10696.36,65237.1,2018,0.0
Juni,38200,10696.36,65237.1,2019,0.0
Juni,38200,10696.36,65237.1,2020,115.4
Juni,38200,10696.36,65237.1,2021,112.0
Juni,38200,10696.36,65237.1,2022,319.0
Juni,37558,11359.0,74117.47,2013,128.0
Juni,37558,11359.0,74117.47,2014,224.4
Juni,37558,11359.0,74117.47,2015,0.0
Juni,37558,11359.0,74117.47,2016,238.0
Juni,37558,11359.0,74117.47,2017,169.0
Juni,37558,11359.0,74117.47,2018,0.0
Juni,37558,11359.0,74117.47,2019,0.0
Juni,37558,11359.0,74117.47,2020,115.4
Juni,37558,11359.0,74117.47,2021,112.0
Juni,37558,11359.0,74117.47,2022,319.0
Juni,38053,10279.2,66146.6,2013,128.0
Juni,38053,10279.2,66146.6,2014,224.4
Juni,38053,10279.2,66146.6,2015,0.0
Juni,38053,10279.2,66146.6,2016,238.0
Juni,38053,10279.2,66146.6,2017,169.0
Juni,38053,10279.2,66146.6,2018,0.0
Juni,38053,10279.2,66146.6,2019,0.0
Juni,38053,10279.2,66146.6,2020,115.4
Juni,38053,10279.2,66146.6,2021,112.0
Juni,38053,10279.2,66146.6,2022,319.0
Juni,35779,10200.2,63853.0,2013,128.0
Juni,35779,10200.2,63853.0,2014,224.4
Juni,35779,10200.2,63853.0,2015,0.0
Juni,35779,10200.2,63853.0,2016,238.0
Juni,35779,10200.2,63853.0,2017,169.0
Juni,35779,10200.2,63853.0,2018,0.0
Juni,35779,10200.2,63853.0,2019,0.0
Juni,35779,10200.2,63853.0,2020,115.4
Juni,35779,10200.2,63853.0,2021,112.0
Juni,35779,10200.2,63853.0,2022,319.0
Juli,38111,2874.0,63961.14,2013,91.7
Juli,38111,2874.0,63961.14,2014,171.5
Juli,38111,2874.0,63961.14,2015,0.0
Juli,38111,2874.0,63961.14,2016,224.0
Juli,38111,2874.0,63961.14,2017,178.0
Juli,38111,2874.0,63961.14,2018,0.0
Juli,38111,2874.0,63961.14,2019,0.0
Juli,38111,2874.0,63961.14,2020,51.8
Juli,38111,2874.0,63961.14,2021,9.8
Juli,38111,2874.0,63961.14,2022,150.0
Juli,38200,10376.66,63868.34,2013,91.7
Juli,38200,10376.66,63868.34,2014,171.5
Juli,38200,10376.66,63868.34,2015,0.0
Juli,38200,10376.66,63868.34,2016,224.0
Juli,38200,10376.66,63868.34,2017,178.0
Juli,38200,10376.66,63868.34,2018,0.0
Juli,38200,10376.66,63868.34,2019,0.0
Juli,38200,10376.66,63868.34,2020,51.8
Juli,38200,10376.66,63868.34,2021,9.8
Juli,38200,10376.66,63868.34,2022,150.0
Juli,37558,8454.0,55162.35,2013,91.7
Juli,37558,8454.0,55162.35,2014,171.5
Juli,37558,8454.0,55162.35,2015,0.0
Juli,37558,8454.0,55162.35,2016,224.0
Juli,37558,8454.0,55162.35,2017,178.0
Juli,37558,8454.0,55162.35,2018,0.0
Juli,37558,8454.0,55162.35,2019,0.0
Juli,37558,8454.0,55162.35,2020,51.8
Juli,37558,8454.0,55162.35,2021,9.8
Juli,37558,8454.0,55162.35,2022,150.0
Juli,38053,11016.1,70568.9,2013,91.7
Juli,38053,11016.1,70568.9,2014,171.5
Juli,38053,11016.1,70568.9,2015,0.0
Juli,38053,11016.1,70568.9,2016,224.0
Juli,38053,11016.1,70568.9,2017,178.0
Juli,38053,11016.1,70568.9,2018,0.0
Juli,38053,11016.1,70568.9,2019,0.0
Juli,38053,11016.1,70568.9,2020,51.8
Juli,38053,11016.1,70568.9,2021,9.8
Juli,38053,11016.1,70568.9,2022,150.0
Juli,35779,5387.1,33696.0,2013,91.7
Juli,35779,5387.1,33696.0,2014,171.5
Juli,35779,5387.1,33696.0,2015,0.0
Juli,35779,5387.1,33696.0,2016,224.0
Juli,35779,5387.1,33696.0,2017,178.0
Juli,35779,5387.1,33696.0,2018,0.0
Juli,35779,5387.1,33696.0,2019,0.0
Juli,35779,5387.1,33696.0,2020,51.8
Juli,35779,5387.1,33696.0,2021,9.8
Juli,35779,5387.1,33696.0,2022,150.0
Agustus,38111,974.0,17902.15,2013,35.0
Agustus,38111,974.0,17902.15,2014,4.0
Agustus,38111,974.0,17902.15,2015,0.0
Agustus,38111,974.0,17902.15,2016,140.0
Agustus,38111,974.0,17902.15,2017,261.0
Agustus,38111,974.0,17902.15,2018,0.0
Agustus,38111,974.0,17902.15,2019,0.0
Agustus,38111,974.0,17902.15,2020,19.7
Agustus,38111,974.0,17902.15,2021,8.3
Agustus,38111,974.0,17902.15,2022,514.0
Agustus,38200,1713.52,10263.98,2013,35.0
Agustus,38200,1713.52,10263.98,2014,4.0
Agustus,38200,1713.52,10263.98,2015,0.0
Agustus,38200,1713.52,10263.98,2016,140.0
Agustus,38200,1713.52,10263.98,2017,261.0
Agustus,38200,1713.52,10263.98,2018,0.0
Agustus,38200,1713.52,10263.98,2019,0.0
Agustus,38200,1713.52,10263.98,2020,19.7
Agustus,38200,1713.52,10263.98,2021,8.3
Agustus,38200,1713.52,10263.98,2022,514.0
Agustus,37558,3229.0,21069.22,2013,35.0
Agustus,37558,3229.0,21069.22,2014,4.0
Agustus,37558,3229.0,21069.22,2015,0.0
Agustus,37558,3229.0,21069.22,2016,140.0
Agustus,37558,3229.0,21069.22,2017,261.0
Agustus,37558,3229.0,21069.22,2018,0.0
Agustus,37558,3229.0,21069.22,2019,0.0
Agustus,37558,3229.0,21069.22,2020,19.7
Agustus,37558,3229.0,21069.22,2021,8.3
Agustus,37558,3229.0,21069.22,2022,514.0
Agustus,38053,4300.4,26339.8,2013,35.0
Agustus,38053,4300.4,26339.8,2014,4.0
Agustus,38053,4300.4,26339.8,2015,0.0
Agustus,38053,4300.4,26339.8,2016,140.0
Agustus,38053,4300.4,26339.8,2017,261.0
Agustus,38053,4300.4,26339.8,2018,0.0
Agustus,38053,4300.4,26339.8,2019,0.0
Agustus,38053,4300.4,26339.8,2020,19.7
Agustus,38053,4300.4,26339.8,2021,8.3
Agustus,38053,4300.4,26339.8,2022,514.0
Agustus,35779,3822.9,23817.0,2013,35.0
Agustus,35779,3822.9,23817.0,2014,4.0
Agustus,35779,3822.9,23817.0,2015,0.0
Agustus,35779,3822.9,23817.0,2016,140.0
Agustus,35779,3822.9,23817.0,2017,261.0
Agustus,35779,3822.9,23817.0,2018,0.0
Agustus,35779,3822.9,23817.0,2019,0.0
Agustus,35779,3822.9,23817.0,2020,19.7
Agustus,35779,3822.9,23817.0,2021,8.3
Agustus,35779,3822.9,23817.0,2022,514.0
September,38111,671.0,16069.38,2013,0.0
September,38111,671.0,16069.38,2014,0.0
September,38111,671.0,16069.38,2015,0.0
September,38111,671.0,16069.38,2016,266.0
September,38111,671.0,16069.38,2017,0.0
September,38111,671.0,16069.38,2018,133.3
September,38111,671.0,16069.38,2019,0.0
